date,price
2011/8/25,9930
2011/8/26,9900
2011/8/27,9980
2011/8/28,9980
2011/8/29,10050
2011/8/30,10080
2011/8/31,10150
2011/9/1,10100
2011/9/2,10100
2011/9/3,10100
2011/9/4,10100
2011/9/5,10100
2011/9/6,10000
2011/9/7,10050
2011/9/8,10100
2011/9/9,10100
2011/9/10,10150
2011/9/11,10150
2011/9/12,10150
2011/9/13,10080
2011/9/14,10050
2011/9/15,10000
2011/9/16,10000
2011/9/17,10020
2011/9/18,10020
2011/9/19,9950
2011/9/20,9950
2011/9/21,9950
2011/9/22,9900
2011/9/23,9880
2011/9/24,9700
2011/9/25,9700
2011/9/26,9700
2011/9/27,9600
2011/9/28,9500
2011/9/29,9300
2011/9/30,9500
2011/10/3,9400
2011/10/4,9350
2011/10/5,9350
2011/10/6,9400
2011/10/7,9400
2011/10/8,9300
2011/10/9,9300
2011/10/10,9250
2011/10/11,9280
2011/10/12,9280
2011/10/13,9350
2011/10/14,9400
2011/10/15,9500
2011/10/16,9500
2011/10/17,9500
2011/10/18,9350
2011/10/19,9350
2011/10/20,9150
2011/10/21,9250
2011/10/22,9250
2011/10/23,9250
2011/10/24,9250
2011/10/25,9300
2011/10/26,9250
2011/10/27,9350
2011/10/28,9350
2011/10/29,9300
2011/10/30,9300
2011/10/31,9200
2011/11/1,9200
2011/11/2,9150
2011/11/3,9180
2011/11/4,9250
2011/11/5,9220
2011/11/6,9220
2011/11/7,9150
2011/11/8,9100
2011/11/9,9150
2011/11/10,9000
2011/11/11,9050
2011/11/12,9100
2011/11/13,9100
2011/11/14,9150
2011/11/15,9150
2011/11/16,9150
2011/11/17,9100
2011/11/18,9050
2011/11/19,9050
2011/11/20,9050
2011/11/21,9050
2011/11/22,9000
2011/11/23,8950
2011/11/24,8750
2011/11/25,8750
2011/11/26,8700
2011/11/27,8700
2011/11/28,8750
2011/11/29,8700
2011/11/30,8680
2011/12/1,8750
2011/12/2,8750
2011/12/3,8800
2011/12/4,8800
2011/12/5,8800
2011/12/6,8750
2011/12/7,8750
2011/12/8,8700
2011/12/9,8700
2011/12/10,8600
2011/12/11,8600
2011/12/12,8600
2011/12/13,8600
2011/12/14,8580
2011/12/15,8500
2011/12/16,8500
2011/12/17,8550
2011/12/18,8550
2011/12/19,8550
2011/12/20,8570
2011/12/21,8550
2011/12/22,8600
2011/12/23,8620
2011/12/24,8620
2011/12/25,8620
2011/12/26,8630
2011/12/27,8600
2011/12/28,8700
2011/12/29,8700
2011/12/30,8750
2011/12/31,8850
2012/1/3,8900
2012/1/4,8950
2012/1/5,8950
2012/1/6,8900
2012/1/7,8900
2012/1/8,8900
2012/1/9,8900
2012/1/10,8950
2012/1/11,8950
2012/1/12,8950
2012/1/13,8900
2012/1/14,8850
2012/1/15,8850
2012/1/16,8800
2012/1/17,8800
2012/1/18,8800
2012/1/19,8800
2012/1/20,8800
2012/1/29,8950
2012/1/30,8950
2012/1/31,8850
2012/2/1,8850
2012/2/2,8850
2012/2/3,8850
2012/2/4,8880
2012/2/5,8880
2012/2/6,8900
2012/2/7,8920
2012/2/8,8920
2012/2/9,8950
2012/2/10,8900
2012/2/11,8880
2012/2/12,8880
2012/2/13,8920
2012/2/14,8980
2012/2/15,9000
2012/2/16,9000
2012/2/17,9000
2012/2/18,9080
2012/2/19,9080
2012/2/20,9100
2012/2/21,9080
2012/2/22,9100
2012/2/23,9080
2012/2/24,9100
2012/2/25,9120
2012/2/26,9120
2012/2/27,9150
2012/2/28,9200
2012/2/29,9250
2012/3/1,9250
2012/3/2,9250
2012/3/3,9250
2012/3/4,9250
2012/3/5,9250
2012/3/6,9220
2012/3/7,9200
2012/3/8,9220
2012/3/9,9350
2012/3/10,9400
2012/3/11,9400
2012/3/12,9400
2012/3/13,9430
2012/3/14,9550
2012/3/15,9500
2012/3/16,9550
2012/3/17,9570
2012/3/18,9570
2012/3/19,9600
2012/3/20,9500
2012/3/21,9500
2012/3/22,9500
2012/3/23,9520
2012/3/24,9600
2012/3/25,9600
2012/3/26,9700
2012/3/27,9750
2012/3/28,9750
2012/3/29,9720
2012/3/30,9650
2012/3/31,9850
2012/4/1,9950
2012/4/2,9980
2012/4/3,10100
2012/4/4,10100
2012/4/5,10050
2012/4/6,10100
2012/4/7,10100
2012/4/8,10100
2012/4/9,10100
2012/4/10,10080
2012/4/11,10050
2012/4/12,10050
2012/4/13,10000
2012/4/14,9950
2012/4/15,9950
2012/4/16,9900
2012/4/17,9900
2012/4/18,9880
2012/4/19,9880
2012/4/20,9900
2012/4/21,9980
2012/4/22,9980
2012/4/23,9950
2012/4/24,9880
2012/4/25,9900
2012/4/26,9850
2012/4/27,9850
2012/4/28,9850
2012/4/29,9850
2012/4/30,9850
2012/5/1,9830
2012/5/2,9830
2012/5/3,9800
2012/5/4,9780
2012/5/5,9750
2012/5/6,9750
2012/5/7,9700
2012/5/8,9670
2012/5/9,9600
2012/5/10,9600
2012/5/11,9600
2012/5/12,9600
2012/5/13,9600
2012/5/14,9350
2012/5/15,9300
2012/5/16,9250
2012/5/17,9200
2012/5/18,9200
2012/5/19,9050
2012/5/20,9050
2012/5/21,9150
2012/5/22,9150
2012/5/23,9050
2012/5/24,9000
2012/5/25,8950
2012/5/26,9020
2012/5/27,9020
2012/5/28,9080
2012/5/29,9080
2012/5/30,9080
2012/5/31,9050
2012/6/1,9000
2012/6/2,8900
2012/6/3,8900
2012/6/4,8900
2012/6/5,8850
2012/6/6,8850
2012/6/7,8950
2012/6/8,8900
2012/6/9,8880
2012/6/10,8880
2012/6/11,9000
2012/6/12,9000
2012/6/13,9000
2012/6/14,8900
2012/6/15,8900
2012/6/16,8900
2012/6/17,8900
2012/6/18,8900
2012/6/19,8950
2012/6/20,9150
2012/6/21,9150
2012/6/22,9100
2012/6/23,9100
2012/6/24,9100
2012/6/25,9250
2012/6/26,9200
2012/6/27,9150
2012/6/28,9150
2012/6/29,9120
2012/6/30,9300
2012/7/1,9250
2012/7/2,9300
2012/7/3,9350
2012/7/4,9400
2012/7/5,9450
2012/7/6,9450
2012/7/7,9370
2012/7/8,9350
2012/7/9,9350
2012/7/10,9450
2012/7/11,9400
2012/7/12,9300
2012/7/13,9280
2012/7/14,9450
2012/7/15,9450
2012/7/16,9550
2012/7/17,9500
2012/7/18,9500
2012/7/19,9500
2012/7/20,9550
2012/7/21,9600
2012/7/22,9600
2012/7/23,9500
2012/7/24,9300
2012/7/25,9250
2012/7/26,9260
2012/7/27,9270
2012/7/28,9330
2012/7/29,9330
2012/7/30,9450
2012/7/31,9420
2012/8/1,9500
2012/8/2,9400
2012/8/3,9430
2012/8/4,9460
2012/8/5,9460
2012/8/6,9480
2012/8/7,9500
2012/8/8,9450
2012/8/9,9480
2012/8/10,9520
2012/8/11,9570
2012/8/12,9570
2012/8/13,9550
2012/8/14,9480
2012/8/15,9480
2012/8/16,9500
2012/8/17,9500
2012/8/18,9520
2012/8/19,9520
2012/8/20,9520
2012/8/21,9570
2012/8/22,9730
2012/8/23,9750
2012/8/24,9800
2012/8/25,9830
2012/8/26,9830
2012/8/27,9900
2012/8/28,9850
2012/8/29,9800
2012/8/30,9850
2012/8/31,9830
2012/9/1,9850
2012/9/2,9850
2012/9/3,9980
2012/9/4,10030
2012/9/5,10000
2012/9/6,9900
2012/9/7,10000
2012/9/10,10025
2012/9/14,10025
2012/9/17,10050
2012/9/18,9850
2012/9/19,9800
2012/9/20,9800
2012/9/21,9725
2012/9/24,9550
2012/9/25,9500
2012/9/26,9450
2012/9/27,9400
2012/9/28,9350
2012/9/29,9500
2012/10/8,9250
2012/10/9,9200
2012/10/10,9150
2012/10/11,9150
2012/10/12,9200
2012/10/15,9050
2012/10/16,9100
2012/10/17,9100
2012/10/18,9100
2012/10/19,9165
2012/10/22,9150
2012/10/23,9200
2012/10/24,9180
2012/10/25,9180
2012/10/26,9150
2012/10/29,8950
2012/10/30,8950
2012/10/31,8950
2012/11/1,9050
2012/11/2,9000
2012/11/5,8775
2012/11/6,8750
2012/11/7,8700
2012/11/8,8725
2012/11/9,8710
2012/11/12,8450
2012/11/13,8400
2012/11/14,8400
2012/11/15,8500
2012/11/16,8425
2012/11/19,8400
2012/11/20,8400
2012/11/21,8475
2012/11/22,8450
2012/11/23,8450
2012/11/26,8600
2012/11/27,8650
2012/11/28,8650
2012/11/29,8650
2012/11/30,8650
2012/12/3,8750
2012/12/4,8742
2012/12/5,8750
2012/12/6,8900
2012/12/10,8850
2012/12/11,8850
2012/12/12,8866
2012/12/13,8900
2012/12/14,8900
2012/12/17,9050
2012/12/18,9050
2012/12/19,9000
2012/12/20,8950
2012/12/21,9000
2012/12/24,8950
2012/12/25,8900
2012/12/26,8950
2012/12/27,8900
2012/12/28,8900
2012/12/31,9000
2013/1/4,8900
2013/1/7,8850
2013/1/8,8850
2013/1/9,8800
2013/1/10,8800
2013/1/11,8825
2013/1/14,8825
2013/1/15,8825
2013/1/16,8850
2013/1/17,8875
2013/1/18,8875
2013/1/21,8875
2013/1/22,8875
2013/1/23,8875
2013/1/24,8825
2013/1/25,8875
2013/1/28,8875
2013/1/29,8850
2013/1/30,8750
2013/1/31,8900
2013/2/1,8900
2013/2/4,8950
2013/2/18,8840
2013/2/19,8850
2013/2/20,8875
2013/2/21,8800
2013/2/22,8750
2013/2/25,8650
2013/2/26,8650
2013/2/27,8550
2013/2/28,8500
2013/3/1,8400
2013/3/4,8300
2013/3/5,8350
2013/3/6,8350
2013/3/7,8330
2013/3/8,8300
2013/3/11,8250
2013/3/12,8200
2013/3/13,8100
2013/3/14,8050
2013/3/15,8050
2013/3/18,8050
2013/3/19,8050
2013/3/20,8050
2013/3/21,8050
2013/3/22,8050
2013/3/25,8100
2013/3/26,8050
2013/3/27,8050
2013/3/28,7980
2013/3/29,7900
2013/4/1,7850
2013/4/2,7850
2013/4/3,7800
2013/4/8,7800
2013/4/9,7850
2013/4/10,7820
2013/4/11,7820
2013/4/12,7820
2013/4/15,7600
2013/4/16,7450
2013/4/17,7450
2013/4/18,7400
2013/4/19,7430
2013/4/22,7300
